nodeA,nodeB,label,wcn,wjc,wpa,waa
2214,3951,1,2.944444444,0.456896552,1960,15.92103204
3393,3417,1,2.933333333,0.407407407,1488,12.47819939
3393,3552,1,3.133333333,0.419642857,1860,13.1800607
3393,3630,1,4.842105263,0.531791908,7533,22.79039947
3393,3675,1,3.857142857,0.637795276,3813,21.67672705
3393,3828,1,2.933333333,0.407407407,1488,12.47819939
3393,3951,1,3.266666667,0.257894737,9114,14.4023255
3417,3552,1,2.2,0.942857143,320,9.401055392
3417,3630,1,2.8,0.4375,1296,11.59437842
3417,3675,1,2.533333333,0.678571429,656,10.67523879
3417,3828,1,2,0.967741935,256,8.699194081
3417,3951,1,2.333333333,0.309734513,1568,10.6233202
3552,3630,1,3,0.45,1620,12.29623973
3552,3675,1,2.733333333,0.683333333,820,11.3771001
3552,3828,1,2.2,0.942857143,320,9.401055392
3552,3951,1,2.25,0.315789474,1960,10.68064074
3630,3675,1,3.333333333,0.41322314,3321,13.57042313
3630,3828,1,2.8,0.4375,1296,11.59437842
3630,3951,1,3.166666667,0.320224719,7938,15.9354456
3675,3828,1,2.533333333,0.678571429,656,10.67523879
3675,3951,1,2.866666667,0.311594203,4018,12.5993649
3828,3951,1,2.333333333,0.309734513,1568,10.6233202
2,51,1,0,0,1216,0
2,64,1,5.5,0.203703704,2880,6.040058961
2,1146,1,3,0.15,1088,3.259255377
2,1389,1,5.833333333,0.259259259,4800,9.534048504
2,2585,1,5.8,0.302083333,2176,8.118073002
2,2603,1,3,0.155844156,896,3.212669143
64,1146,1,4.5,0.295081967,765,4.853228941
64,1389,1,4.9,0.426086957,3375,14.24581659
64,2585,1,5.272727273,0.805555556,1530,16.57166024
64,2603,1,4.5,0.310344828,630,4.806642707
1146,1389,1,6,0.263736264,1275,6.597385419
1146,2585,1,6,0.48,578,6.086706672
1146,2603,1,2,0.333333333,238,2.602917139
1389,2585,1,3.727272727,0.414141414,2550,13.36278317
1389,2603,1,6,0.272727273,1050,6.550799185
2585,2603,1,6,0.510638298,476,6.040120438
2,585,1,13.66666667,0.401960784,2752,11.12903353
2,1872,1,10.25,0.325396825,4288,10.93450601
2,2107,1,13.33333333,0.388349515,2816,10.70667516
585,1872,1,7.625,0.616161616,2881,16.09807582
585,2107,1,6.111111111,0.774647887,1892,14.36798479
1872,2107,1,7.75,0.62,2948,16.1320604
2,2712,1,5.4,0.385714286,512,6.846290404
585,2712,1,12,0.734693878,344,8.98668076
1872,2712,1,10.66666667,0.432432432,536,8.264606352
2107,2712,1,12.33333333,0.725490196,352,9.277459131
2,605,1,2,0.057142857,448,2.352934268
2,1848,1,2,0.060606061,192,1.872035921
2,2629,1,2,0.056338028,512,2.404491735
605,1848,1,2,0.444444444,21,1.389351458
605,2629,1,2,0.285714286,56,1.921807272
1848,2629,1,2,0.4,24,1.440908925
2,932,1,10.75,0.284768212,15936,19.65498378
2,1230,1,10,0.379746835,1152,5.426856874
2,2518,1,6.5,0.143382353,13376,8.202863802
2,2861,1,8.888888889,0.253164557,16704,17.15537513
932,1230,1,10.25,0.312977099,4482,18.46996462
932,2518,1,7.944444444,0.314977974,52041,34.19435959
932,2861,1,8.961538462,0.490526316,64989,59.81037511
1230,2518,1,6,0.079646018,3762,3.486160799
1230,2861,1,15.75,0.22826087,4698,13.05597752
2518,2861,1,5.6875,0.194444444,54549,21.52851372
2,1348,1,14,0.166666667,1344,2.535560825
932,1348,1,9.571428571,0.25093633,5229,16.35485608
2,2472,1,8.75,0.321100917,2944,6.96910395
932,2472,1,9.272727273,0.355400697,11454,25.55530052
2472,2861,1,9.75,0.255737705,12006,17.23616787
2,2997,1,8.25,0.155660377,9600,6.031453475
932,2997,1,10.875,0.219143577,37350,17.4602044
2861,2997,1,6.857142857,0.234718826,39150,19.46458606
2,3460,1,9,0.375,2112,6.947547318
932,3460,1,8.785714286,0.444043321,8217,29.13767632
2861,3460,1,6.684210526,0.442508711,8613,32.18795698
2,3826,1,6.8,0.409638554,1280,6.601048583
932,3826,1,10.66666667,0.363636364,4980,22.71012225
2861,3826,1,10.14285714,0.253571429,5220,15.40314479
1389,2712,1,8.5,0.207317073,600,4.531267249
2585,2712,1,7.5,0.365853659,272,3.498209989
2,1708,1,7,0.109375,12416,5.69802845
2,3841,1,0,0,448,0
3,120,1,2.0625,0.485294118,884,9.077664286
3,739,1,2,0.96969697,289,8.666668261
3,1075,1,2.0625,0.916666667,340,8.915706427
3,1208,1,2,0.226950355,2125,8.94507995
3,1280,1,2.125,0.68,578,9.258391589
3,1838,1,2,0.96969697,289,8.666668261
3,2020,1,2,0.96969697,289,8.666668261
3,2040,1,2.125,0.350515464,1377,9.421412267
3,2306,1,2,0.888888889,340,8.701703296
3,2915,1,2,0.507936508,799,8.84198524
3,2960,1,2.1875,0.614035088,697,9.465537393
3,3286,1,2,0.551724138,714,8.826875602
3,3445,1,2.25,0.295081967,1802,10.06171241
3,3577,1,2.125,0.4,1173,9.396058464
