"nodeA","nodeB","label","wcn","wjc","wpa","waa"
3552,3630,1,3,0.45,1620,12.2962397272489
3552,3675,1,2.73333333333333,0.683333333333333,820,11.3771001012164
3552,3828,1,2.2,0.942857142857143,320,9.40105539189463
3552,3951,1,2.25,0.315789473684211,1960,10.6806407429386
3630,3675,1,3.33333333333333,0.413223140495868,3321,13.5704231257906
3630,3828,1,2.8,0.4375,1296,11.5943784164689
3630,3951,1,3.16666666666667,0.320224719101124,7938,15.9354455987706
3675,3828,1,2.53333333333333,0.678571428571429,656,10.6752387904364
3675,3951,1,2.86666666666667,0.311594202898551,4018,12.5993649047022
3828,3951,1,2.33333333333333,0.309734513274336,1568,10.6233201953805
2,51,1,0,0,1216,0
2,64,1,5.5,0.203703703703704,2880,6.04005896079857
2,1146,1,3,0.15,1088,3.25925537677319
2,1389,1,5.83333333333333,0.259259259259259,4800,9.53404850426787
2,2585,1,5.8,0.302083333333333,2176,8.11807300200691
2,2603,1,3,0.155844155844156,896,3.21266914315786
64,1146,1,4.5,0.295081967213115,765,4.85322894051619
64,1389,1,4.9,0.426086956521739,3375,14.2458165899217
64,2585,1,5.27272727272727,0.805555555555556,1530,16.5716602373251
64,2603,1,4.5,0.310344827586207,630,4.80664270690086
1146,1389,1,6,0.263736263736264,1275,6.59738541894816
1146,2585,1,6,0.48,578,6.08670667159402
1146,2603,1,2,0.333333333333333,238,2.60291713923107
1389,2585,1,3.72727272727273,0.414141414141414,2550,13.3627831676299
1389,2603,1,6,0.272727272727273,1050,6.55079918533284
2585,2603,1,6,0.51063829787234,476,6.04012043797869
2,585,1,13.6666666666667,0.401960784313726,2752,11.1290335339354
2,1872,1,10.25,0.325396825396825,4288,10.9345060094289
2,2107,1,13.3333333333333,0.388349514563107,2816,10.7066751579962
585,1872,1,7.625,0.616161616161616,2881,16.0980758241296
585,2107,1,6.11111111111111,0.774647887323944,1892,14.3679847856271
1872,2107,1,7.75,0.62,2948,16.1320604037092
2,2712,1,5.4,0.385714285714286,512,6.84629040416681
585,2712,1,12,0.73469387755102,344,8.98668075950777
1872,2712,1,10.6666666666667,0.432432432432432,536,8.26460635156928
2107,2712,1,12.3333333333333,0.725490196078431,352,9.27745913112811
2,605,1,2,0.0571428571428571,448,2.3529342675158
2,1848,1,2,0.0606060606060606,192,1.87203592055281
2,2629,1,2,0.0563380281690141,512,2.40449173481494
605,1848,1,2,0.444444444444444,21,1.38935145812087
605,2629,1,2,0.285714285714286,56,1.921807272383
1848,2629,1,2,0.4,24,1.44090892542001
2,932,1,10.75,0.28476821192053,15936,19.6549837809486
2,1230,1,10,0.379746835443038,1152,5.4268568736213
2,2518,1,6.5,0.143382352941176,13376,8.20286380187192
2,2861,1,8.88888888888889,0.253164556962025,16704,17.1553751322855
932,1230,1,10.25,0.312977099236641,4482,18.4699646224462
932,2518,1,7.94444444444444,0.314977973568282,52041,34.1943595881418
932,2861,1,8.96153846153846,0.490526315789474,64989,59.8103751125022
1230,2518,1,6,0.079646017699115,3762,3.48616079924114
1230,2861,1,15.75,0.228260869565217,4698,13.0559775188094
2518,2861,1,5.6875,0.194444444444444,54549,21.5285137214536
2,1348,1,14,0.166666666666667,1344,2.53556082498188
932,1348,1,9.57142857142857,0.250936329588015,5229,16.3548560770624
2,2472,1,8.75,0.321100917431193,2944,6.9691039501196
932,2472,1,9.27272727272727,0.355400696864112,11454,25.5553005242121
2472,2861,1,9.75,0.255737704918033,12006,17.2361678650441
2,2997,1,8.25,0.155660377358491,9600,6.03145347470325
932,2997,1,10.875,0.219143576826196,37350,17.4602043960321
2861,2997,1,6.85714285714286,0.234718826405868,39150,19.4645860596037
2,3460,1,9,0.375,2112,6.94754731787703
932,3460,1,8.78571428571428,0.444043321299639,8217,29.1376763212272
2861,3460,1,6.68421052631579,0.442508710801394,8613,32.1879569845891
2,3826,1,6.8,0.409638554216867,1280,6.60104858303824
932,3826,1,10.6666666666667,0.363636363636364,4980,22.7101222520686
2861,3826,1,10.1428571428571,0.253571428571429,5220,15.4031447928416
1389,2712,1,8.5,0.207317073170732,600,4.53126724917212
2585,2712,1,7.5,0.365853658536585,272,3.49820998868953
2,1708,1,7,0.109375,12416,5.69802844996587
2,3841,1,0,0,448,0
3,120,1,2.0625,0.485294117647059,884,9.07766428579684
3,739,1,2,0.96969696969697,289,8.66666826095382
3,1075,1,2.0625,0.916666666666667,340,8.91570642671289
3,1208,1,2,0.226950354609929,2125,8.94507995048876
3,1280,1,2.125,0.68,578,9.25839158881965
3,1838,1,2,0.96969696969697,289,8.66666826095382
3,2020,1,2,0.96969696969697,289,8.66666826095382
3,2040,1,2.125,0.350515463917526,1377,9.4214122672583
3,2306,1,2,0.888888888888889,340,8.70170329597011
3,2915,1,2,0.507936507936508,799,8.84198523986155
3,2960,1,2.1875,0.614035087719298,697,9.46553739286645
3,3286,1,2,0.551724137931034,714,8.8268756021265
3,3445,1,2.25,0.295081967213115,1802,10.0617124100009
3,3577,1,2.125,0.4,1173,9.39605846435068
3,3613,1,2,0.347826086956522,1292,8.89819499336691
3,3753,1,2,0.864864864864865,357,8.71158986717886
